OID,Name,Method
RULE_DTHWLTF_GSKCOREDRVR1,DTHWLTF,"Set to ""Y"" when ADSL.DTHDT>=ADSL.TRTEDT and 0 <= ADSL.DTHDT- ADSL.TRTEDT
                            <= 30
                        "
RULE_DTHALTF_GSKCOREDRVR1,DTHALTF,ADSL_DTHALTF
RULE_DTHWFTF_GSKONCOLOGYDRVR1,DTHWFTF,"Set to ""Y"" when ADSL.DTHDT>=ADSL.TRTSDT and 0 <= ADSL.DTHDT- ADSL.TRTSDT
                            <= 30
                        "
RULE_TR01STMF_GSKCOREDRVR1,TR01STMF,"TR01STMF= H if the entire time is imputed. TR01STMF = M if minutes and seconds
                            are imputed. TR01STMF = S if only seconds are imputed.
                        "
RULE_TR01ETMF_GSKCOREDRVR1,TR01ETMF,"TR01ETMF= H if the entire time is imputed. TR01ETMF = M if minutes and seconds
                            are imputed. TR01ETMF = S if only seconds are imputed.
                        "
RULE_AP01STMF_GSKCOREDRVR1,AP01STMF,"AP01STMF= H if the entire time is imputed. AP01STMF= M if minutes and seconds
                            are imputed. AP01STMF = S if only seconds are imputed.
                        "
RULE_AP01ETMF_GSKCOREDRVR1,AP01ETMF,"AP01ETMF= H if the entire time is imputed. AP01ETMF= M if minutes and seconds
                            are imputed. AP01ETMF = S if only seconds are imputed.
                        "
RULE_TRTSTMF_GSKCOREDRVR1,TRTSTMF,"TRTSTMF= H if the entire time is imputed. TRTSTMF = M if minutes and seconds are
                            imputed. TRTSTMF = S if only seconds are imputed.
                        "
RULE_TRTETMF_GSKCOREDRVR1,TRTETMF,"TRTETMF= H if the entire time is imputed. TRTETMF = M if minutes and seconds are
                            imputed. TRTETMF = S if only seconds are imputed.
                        "
RULE_R2ANRLO_GSKCORE-RXDRVR1,R2ANRLO,AVAL/ANRLO
RULE_R2ANRHI_GSKCORE-RXDRVR1,R2ANRHI,AVAL/ANRHI
RULE_ADLB_SHIFT1_GSKCORE-RXDRVR1,ADLB_SHIFT1,"SHIFT1=""To Normal or No Change"" if A1IND=B1IND or UPCASE(A1IND)=""NORMAL"" ; else
                            SHIFT1=""To Low"" ; if UPCASE(A1IND)=""LOW""; else SHIFT1=""To High"" if UPCASE(A1IND)=""HIGH""
                        "
RULE_ADLB_SHIFT2_GSKCORE-RXDRVR1,ADLB_SHIFT2,"Derive for post-baseline ATOXGRN values. If BTOXGRN is missing assume is it 0.
                            If ATOXGRN = 1 and BTOXGRN < ATOXGRN then SHIFT2=""Increase to Grade 1"". If ATOXGRN = 2
                            and BTOXGRN < ATOXGRN then SHIFT2=""Increase to Grade 2"". If ATOXGRN = 3 and BTOXGRN <
                            ATOXGRN then SHIFT2=""Increase to Grade 3"". If ATOXGRN = 4 and BTOXGRN < ATOXGRN then
                            SHIFT2=""Increase to Grade 4"".
                        "
RULE_ADLB_SHIFT4_GSKCORE-RXDRVR1,ADLB_SHIFT4,"Derive for post-baseline ATOXGRLN values. If BTOXGRLN is missing assume is it 0.
                            If ATOXGRLN = 1 and BTOXGRLN < ATOXGRLN then SHIFT2=""Increase to Grade 1"". If ATOXGRLN =
                            2 and BTOXGRLN < ATOXGRLN then SHIFT2=""Increase to Grade 2"". If ATOXGRLN = 3 and BTOXGRLN
                            < ATOXGRLN then SHIFT2=""Increase to Grade 3"". If ATOXGRLN = 4 and BTOXGRLN < ATOXGRLN
                            then SHIFT2=""Increase to Grade 4"".
                        "
RULE_ADLB_SHIFT5_GSKCORE-RXDRVR1,ADLB_SHIFT5,"Derive for post-baseline ATOXGRHN values. If BTOXGRHN is missing assume is it 0.
                            If ATOXGRHN = 1 and BTOXGRHN < ATOXGRHN then SHIFT2=""Increase to Grade 1"". If ATOXGRHN =
                            2 and BTOXGRHN < ATOXGRHN then SHIFT2=""Increase to Grade 2"". If ATOXGRHN = 3 and BTOXGRHN
                            < ATOXGRHN then SHIFT2=""Increase to Grade 3"". If ATOXGRHN = 4 and BTOXGRHN < ATOXGRHN
                            then SHIFT2=""Increase to Grade 4"".
                        "
RULE_ADLB_SHIFT3_GSKCORE-RXDRVR1,ADLB_SHIFT3,"SHIFT3=""To Normal or No Change"" if ANRIND=BNRIND or UPCASE(ANRIND)=""NORMAL"" ;
                            else SHIFT3=""To Low"" ; if UPCASE(ANRIND)=""LOW""; else SHIFT3=""To High"" if
                            UPCASE(ANRIND)=""HIGH""
                        "
RULE_ADLB_ATOXGRN_GSKCOREDRVR1,ADLB_ATOXGRN,"Toxicity grade of AVAL or AVALC for analysis; For RX: may be based on SDTM
                            --TOXGR or an imputed or assigned value per SAP specification
                        "
RULE_ADLB_ANL61FL_GSKCORE-RXDRVR1,ADLB_ANL61FL,"Flags worst case post baseline (absolute shift) for Normal or PCI ranges
                        "
RULE_ADLB_ANL62FL_GSKCORE-RXDRVR1,ADLB_ANL62FL,"Flags worst case post baseline (change from baseline) for Normal or PCI ranges
                            or worst case grade increase post-baseline
                        "
